contract_address,symbol,group,simple_group
0x0000000000085d4780b73119b644ae5ecd22b376,TUSD,TUSD,Stablecoins
0x0ace32f6e87ac1457a5385f8eb0208f37263b415,HBT,other,other
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI,other,other
0x111111111117dc0aa78b770fa6a738034120c302,1INCH,other,other
0x16c52ceece2ed57dad87319d91b5e3637d50afa4,TCAP,other,other
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,other,other
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,WBTC,WBTC
0x3155ba85d5f96b2d030a4966af206230e46849cb,RUNE,other,other
0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,MITX,other,other
0x4bb3205bf648b7f59ef90dee0f1b62f6116bc7ca,BYN,other,other
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,other,other
0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,BUSD,Stablecoins
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LUSD,other,Stablecoins
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,DAI,Stablecoins
0x8762db106b2c2a0bccb3a80d1ed41273552616e8,RSR,other,other
0x898bad2774eb97cf6b94605677f43b41871410b1,vETH2,other,other
0x956f47f50a910163d8bf957cf5846d573e7f87ca,FEI,other,other
0x9ba60ba98413a60db4c651d4afe5c937bbd8044b,YLA,other,other
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,Stablecoins
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,other,other
0xb4efd85c19999d84251304bda99e90b92300bd93,RPL,other,other
0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,alUSD,other,Stablecoins
0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,other,other
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,ETH/WETH,ETH/WETH
0xc5bddf9843308380375a611c18b50fb9341f502a,yveCRV,yveCRV,yveCRV
0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,TRIBE,other,other
0xd478161c952357f05f0292b56012cd8457f1cfbf,POLK,other,other
0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,CRV,CRV
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,USDT,Stablecoins
0xe2f2a5c287993345a840db3b0845fbc70f5935a5,mUSD,other,other
